answer,pack,dncahPack
Studying for 1000 years.,Not Parent Approved Expansion Pack #1,Kids
Stuff and things,Cards for the Masses,CAH & Expansions
stuff for a good joke,Dick,CAH & Expansions
Stuff.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
Stuffed animals,Kids Create Absurdity,Kids
Stuffed ballot boxes.,Humanity Hates Trump: Base Set,Elections & Donald Trump
Stuffin' the muffin like a boss.,"Guards Against Insanity, Edition 4",CAH & Expansions
Stuffing a child's face with Fun Dip® until he starts having fun.,CAH Blue Box Expansion,CAH & Expansions
Stuffing my balls into a Sega Genesis and pressing the power button.,CAH Geek Pack,CAH & Expansions
Stuffing my underwear with pancakes.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
Stuffing the ballot box with pepperoni.,"Bad Campaign, The Presidential Party Game!",Elections & Donald Trump
Stunt doubles.,CAH Base Set,CAH & Expansions
Stupefied,Dirty Nasty Filthy,Dirty
Stupid Cosmo Sex Tips.,Carbs of the Huge Manatee: General Expansion 1,CAH & Expansions
Stupid Flanders.,Words Against Morality: Volume 1,CAH & Expansions
Stupid French accents and the people attached to them.,Humanity Hates Trump: Base Set,Elections & Donald Trump
stupid fucking rednecks,Evil Apples,CAH & Expansions
Stupid.,CAH Blue Box Expansion,CAH & Expansions
Sturdy Bulgarian women.,CAH Everything Box Expanion,CAH & Expansions
Sub drop.*,Carbs of the Huge Manatee - Kink Expansion 1,Dirty
Sub guys wearing short shorts and nipple clamps.,Disgruntled Decks: Navy Edition,Military
Sub-Saharan cannibals.,Cats Abiding Horribly: Episode I - The Dirty Goblin,CAH & Expansions
Subduing a grizzly bear and making her your wife.,CAH Red Box Expansion,CAH & Expansions
Subduing an officer using only the gentle touch of feminine hands.,Disgruntled Decks: Air Force Edition,Military
Subliminal messages,Conspiracy Theory,Conspiracy
Submissively ignoring the genital wart as you're giving head,Depravity,Depravity
Subprime real-estate instruction.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Subsisting on tiny pizzas.,CAH Retail Product Pack,CAH & Expansions
"substantial, symmetrically globular, and indestructable dumplings",Dick,CAH & Expansions
Substitute teachers.,CAH Base Set,CAH & Expansions
Substituting sweet potato fries for $2.,CAH Absurd Box Expansion,CAH & Expansions
Subtle dehumanization.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Dirty
Suburban heroin addicts.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Suburbanites.,Carps & Angsty Manatee - Volume 1,CAH & Expansions
"Subways!
Subways!
Subways!",Cards About Toronto,Toronto
Succumbing to your colleague's sexual advances,Depravity,Depravity
Such a big boy.,CAH Blue Box Expansion,CAH & Expansions
Such a nasty group of people.,Bad Hombres Against Fake News Pack 1,Elections & Donald Trump
such an excellent listener!,Dick,CAH & Expansions
such bugs and goblins in my life,Bards Dispense Profanity,CAH & Expansions
Suck pudding out of everyone's orifices.,Potheads Against Sanity,420
Suck the blood out used bandages.,Potheads Against Sanity,420
Sucker-punching an unruly chihuahua.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Sucking,Dirty Nasty Filthy,Dirty
Sucking a dick so small you have to fake choke and gag just to be nice.,The Worst Card Game: 2016 National Edition,CAH & Expansions
Sucking a flaccid penis for 20 minutes.,CAH College Pack,CAH & Expansions
Sucking all the milk out of a yak.,CAH Blue Box Expansion,CAH & Expansions
Sucking all the oil out of the planet and fucking off to Mars.,CAH Human Pack,CAH & Expansions
Sucking at something,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Sucking dick for money.,Cakes Athirst Hilarity Volume 1,CAH & Expansions
Sucking down thousands of pounds of krill every day.,CAH Food Pack,CAH & Expansions
Sucking each other’s penises for hours on end.,CAH Green Box Expansion,CAH & Expansions
"Sucking her ass so hard, her face caves in.","Guards Against Insanity, Edition 5",CAH & Expansions
Sucking her juices off your best mate's cock.,"Guards Against Insanity, Edition 5",CAH & Expansions
sucking his own paws,Dick,CAH & Expansions
Sucking it in for a holiday photo,Depravity,Depravity
Sucking menstrual fluid out with a straw.,Cocks Abreast Hostility: Cock Pack One: Just The Tip,Dirty
Sucking my thumb.,"Bad Campaign, The Presidential Party Game!",Elections & Donald Trump
Sucking on a dirty thumb,KinderPerfect: A Timeout For Parents (Kickstarter Set),Parenthood
Sucking on an elf's surprisingly large candy cane.,"Crows Adopt Vulgarity, Vol. 3",CAH & Expansions
Sucking on an exhaust pipe.,"Bad Campaign, The Presidential Party Game!",Elections & Donald Trump
Sucking on titties like you're trying to get the cancer out.,The Worst Card Game: 2016 National Edition,CAH & Expansions
Sucking period clumps through a boba straw.,CAH Everything Box Expanion,CAH & Expansions
Sucking Santa's cock.,Carps & Angsty Manatee - Volume 2,CAH & Expansions
Sucking snot out of the baby's nose.,Fun in the Oven,CAH & Expansions
Sucking some dicks to not get drafted.,CAH Base Set,CAH & Expansions
Sucking the caviar straight out of a fish's pussy.,CAH Absurd Box Expansion,CAH & Expansions
Sucking the president's dick.,CAH 90s Nostalgia Pack,CAH & Expansions
Sucking up to donors., 2016 Election Game ,Elections & Donald Trump
Sucking Wall Street's dick for 30 years.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Elections & Donald Trump
sucking your own dick,Evil Apples,CAH & Expansions
Sudden and unwanted slam poetry.,CAH Green Box Expansion,CAH & Expansions
Sudden penis loss.,CAH Blue Box Expansion,CAH & Expansions
Sudden Poop Explosion Disease.,CAH Base Set,CAH & Expansions
Suddenly feeling really sad for 40 years.,CAH Absurd Box Expansion,CAH & Expansions
Suddenly remembering that the Holocaust happened.,CAH Jew Pack/Chosen People Pack,Jews
Sudoku,Cards Against Profanity,CAH & Expansions
Sudoku® puzzles with no solutions.,WTF Did You Say?!?,CAH & Expansions
Sue Nicholson from Sensing Murder failing to find another body,Kiwis Versus Morality,New Zealand
Suffocating from the incense.,The Catholic Card Game: Base Deck,Catholic
Sugar and spice and everything nice.,Crabs Adjust Humidity: Volume 5,CAH & Expansions
Sugar Bear™,Kids Against Maturity,Kids
Sugar Daddies,Personally Incorrect,Personal
Sugar madness.,CAH Fourth Expansion,CAH & Expansions
"Sugar, sugar, sugar!",Not Parent Approved,Kids
Sugar. Lots and lots of sugar.,Cards Against Profanity,CAH & Expansions
suicidal tendencies,Skewered And Roasted,CAH & Expansions
Suicidal thoughts.,CAH Base Set,CAH & Expansions
Suicide Awareness Training.,Charlie Foxtrot,Military
Suicide bombers,Conspiracy Theory,Conspiracy
Suicide bombers.,CAH Red Box Expansion,CAH & Expansions
Suicide Bombings,Personally Incorrect,Personal
Suicide photobombers.,"Crows Adopt Vulgarity, Vol. 4",CAH & Expansions
Suing Hillary Clinton for being a woman.,Humanity Hates Trump: Base Set,Elections & Donald Trump
Suing the Constitution.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Suitcase nukes,Conspiracy Theory,Conspiracy
Sultry Nkosazana Dlamini-Zuma.,Hilarious!,CAH & Expansions
Summer school,Kids Create Absurdity,Kids
Summer School II: Still Can’t Read.,The Worst Card Game: 2016 National Edition,CAH & Expansions
Summoning Harold Holt from the sea in a time of great need.,CAH Base Set,CAH & Expansions
Sumo wrestler thongs.,Not Parent Approved Expansion Pack #1,Kids
Sun Gods 'til your dick skinners fall off.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
Sunbathing your belly to prevent jaundice in the baby.,Fun in the Oven,CAH & Expansions
Sunday,Kiwis Against Morality,New Zealand
Sunday hangovers,KinderPerfect (Commercial Set),Parenthood
Sunday School.,The Catholic Card Game: Base Deck,Catholic
Sunny D! Alright!,CAH 90s Nostalgia Pack,CAH & Expansions
Sunshine and rainbows.,CAH Base Set,CAH & Expansions
"Sunshine, pretty flowers and rainbows.",Hilarious!,CAH & Expansions
Super Blunts,Personally Incorrect,Personal
Super Mario™ fart,Kids Against Maturity,Kids
Super self-confidence,Cards Against/For South Africa,South Africa
Super self-confidence.,Hilarious!,CAH & Expansions
Super snoozy school assemblies.,Not Parent Approved,Kids
"Super tight, camel-toe yoga pants.",Hilarious!,CAH & Expansions
Super yoga.,CAH Reject Pack,CAH & Expansions
super-dainty Kate,Bards Dispense Profanity,CAH & Expansions
Super-rich pansexual cowboys.,Carps & Angsty Manatee - Texas Edition,Texas
Super-spicy salsa,The Game Without Decency,CAH & Expansions
Superhero movies.,The Catholic Card Game: Base Deck,Catholic
Superheroes,Conspiracy Theory,Conspiracy
Superman's™ skid marks,Kids Against Maturity,Kids
Supervillians,Conspiracy Theory,Conspiracy
Suplexing a jabroni in the PAX Rumble.,CAH PAX Prime 2014 Custom Printed Cards,CAH & Expansions
Supporting every Catholic on Patreon.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
Suppositories,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Suppressing the gag reflex.,"Guards Against Insanity, Edition 2",CAH & Expansions
Suppressive fire.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
Supreme Court Justice Ruth Bader Ginsburg.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
Supreme Court justices who used to be into autoerotic asphyxiation.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Dirty
Surplus Russian vodka.,Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Elections & Donald Trump
Surprise Anal.,"Humanity Hates the Holidays ""Love"" Edition",CAH & Expansions
Surprise Cumshot,Personally Incorrect,Personal
Surprise Funeral.,Voter's Choice: The Fourth Expansion,CAH & Expansions
Surprise lactation,KinderPerfect (Commercial Set),Parenthood
Surprise Sex,Personally Incorrect,Personal
Surprise sex!,CAH Base Set,CAH & Expansions
Surprise sex!,Cards Against/For South Africa,South Africa
Surrogate mom,KinderPerfect: A Timeout For Parents (Kickstarter Set),Parenthood
Surrounding myself with idiots to feel more mature.,Cads Against Adulting,Adulting
Surviving a sniper round to the dome.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
Survivor's guilt.,CAH Red Box Expansion,CAH & Expansions
"Susan, that bitch.",Crabs Adjust Humidity: Volume 3,CAH & Expansions
Sushi,Conspiracy Theory,Conspiracy
Sushi in a landlocked country,JadedAid: A Card Game to Save Humanitarians,Humanitarian
Sushi.,Fun in the Oven,CAH & Expansions
Suspected journalists.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Suspecting a severe case of bacterial vaginosis as you lick the bean,Depravity,Depravity
Suspecting that you were adopted,Depravity,Depravity
Suspecting your neighbours are swingers,Depravity,Depravity
Suspicious white powder.,CAH 2000s Nostalgia Pack,CAH & Expansions
Suspicious white powder.,Humanity Hates Trump: Base Set,Elections & Donald Trump
Sustainability,JadedAid: A Card Game to Save Humanitarians,Humanitarian
Suzanne Paul vajazzling with luminous spheres,Kiwis Versus Morality,New Zealand
Swabbies and shipmates.,Disgruntled Decks: Navy Edition,Military
Swaddle,Babies vs. Parents,Parenthood
Swaddling.,Fun in the Oven,CAH & Expansions
Swag,Kids Create Absurdity,Kids
Swag.,CAH Base Set,CAH & Expansions
Swallowing,Dirty Nasty Filthy,Dirty
Swallowing a cue ball.,Crabs Adjust Humidity: Volume 2,CAH & Expansions
Swallowing a grown man whole.,Cats Abiding Horribly: Episode I - The Dirty Goblin,CAH & Expansions
Swallowing a heavy load,Depravity,Depravity
swallowing a tapeworm,Evil Apples,CAH & Expansions
Swallowing an unopend can of beer.,CAH Everything Box Expanion,CAH & Expansions
Swallowing.,Cards and Punishment Vol. Two,CAH & Expansions
Swants.,Knitters Against Swatches First Edition,Knitting
Swapping bodies with mom for a day.,CAH 2013 Holiday Pack,CAH & Expansions
SWAT teams,Conspiracy Theory,Conspiracy
Swearing in sign language,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
"swearing occasionally, by way of assuaging the general friction",Dick,CAH & Expansions
Sweat soaked armpit hair.,Cakes Athirst Hilarity Volume 3,CAH & Expansions
Sweater puppies.,Crabs Adjust Humidity: Volume 6,CAH & Expansions
Sweatin' to the Oldies.,"Bad Campaign, The Presidential Party Game!",Elections & Donald Trump
Sweating it out,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Sweating it out on the streets of a runaway American Dream.,CAH Reject Pack 2,CAH & Expansions
Sweating out of everywhere. All the time. Forever.,Cows Against Hamburgers - Patty Pack #1,CAH & Expansions
Sweatshop workers.,Cakes Athirst Hilarity Volume 2,CAH & Expansions
Sweatshops.,"Bad Campaign, The Presidential Party Game!",Elections & Donald Trump
Sweaty Elvis impersonators.,"Bad Campaign, The Presidential Party Game!",Elections & Donald Trump
Sweaty feet,Kids Create Absurdity,Kids
sweaty gym selfies,Skewered And Roasted,CAH & Expansions
Sweaty hands at the Sign of Peace.,The Catholic Card Game: Base Deck,Catholic
Sweaty shin guards.,Not Parent Approved,Kids
Sweaty socks.,Not Parent Approved,Kids
Swedish meatballs.,"Bad Campaign, The Presidential Party Game!",Elections & Donald Trump
Sweeping sand in Iraq.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
Sweeping the flight deck during a torrential downpour.,Disgruntled Decks: Navy Edition,Military
Sweet Apple Pie,Personally Incorrect,Personal
Sweet cherry pie.,"Bad Campaign, The Presidential Party Game!",Elections & Donald Trump
Sweet dreams.,Not Parent Approved,Kids
Sweet mixtapes.,"Bad Campaign, The Presidential Party Game!",Elections & Donald Trump
Sweet nectar of the Gods,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Sweet pickles.,Cows Against Hamburgers - Patty Pack #1,CAH & Expansions
Sweet revenge.,Not Parent Approved Expansion Pack #2,Kids
Sweet Seduction.,Hilarious!,CAH & Expansions
"sweet, delicious placenta",Evil Apples,CAH & Expansions
"sweet, sweet incest",Skewered And Roasted,CAH & Expansions
"Sweet, sweet revenge.","Guards Against Insanity, Edition 2",CAH & Expansions
"Sweet, sweet vengeance.",CAH Base Set,CAH & Expansions
"Sweet, sweet vengeance.",Cards Against/For South Africa,South Africa
"swift glances of warm, wild bosoms",Dick,CAH & Expansions
Swiftly achieving orgasm.,CAH Red Box Expansion,CAH & Expansions
Swim naked in a bathtub full of tapioca pudding.,Potheads Against Sanity,420
Swim the crawl stroke on a waterbed.,Potheads Against Sanity,420
Swimming across the Rio Grande.,Carps & Angsty Manatee - Texas Edition,Texas
Swimming in utero.,Fun in the Oven,CAH & Expansions
Swimming with dolphins,Kids Create Absurdity,Kids
Swine flu,Conspiracy Theory,Conspiracy
Swing racists.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Swingers,Personally Incorrect,Personal
Swinging.,Cads About Matrimony,Matrimony
Swiping left so hard you crack the screen.,Carbs of the Huge Manatee - Online Dating Expansion 1,Dating
Swiping right on your best friend's brother.,WTF Did You Say?!?,CAH & Expansions
Swiping right. With my dick.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Dirty
Swishing the wine around and sniffing it like a big fancy man.,CAH Food Pack,CAH & Expansions
Switching bodies with mom for a day.,Cats Abiding Horribly: Episode I - The Dirty Goblin,CAH & Expansions
Switching out Valentines for dog shit.,"Humanity Hates the Holidays ""Love"" Edition",CAH & Expansions
Switching to Geico®.,CAH Base Set,CAH & Expansions
Switching to Proudly South African.,Cards Against/For South Africa,South Africa
Switching to Proudly South African.,Hilarious!,CAH & Expansions
Switching to the metric system., 2016 Election Game ,Elections & Donald Trump
Switching your diabetic friend's insulin with heroin.,"Crows Adopt Vulgarity, Vol. 1",CAH & Expansions
Swollen ankles.,Fun in the Oven,CAH & Expansions
swollen breasts,Evil Apples,CAH & Expansions
Swooping.,CAH Base Set,CAH & Expansions
Sword fights gone wrong.,Not Parent Approved,Kids
Sword swallowing.,Cats Abiding Horribly: Episode III - The SJWs Strike Back,CAH & Expansions
Swordplay.,CAH Absurd Box Expansion,CAH & Expansions
Swords.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
Syfy presents…,Carbs of the Huge Manatee: General Expansion 2,CAH & Expansions
Sympathy,Cards Against Profanity,CAH & Expansions
Synergistic management solutions.,CAH Base Set,CAH & Expansions
Synthetic cannabis,Kiwis Versus Morality,New Zealand
"Syphilis Gene, the unclean Marine.",Disgruntled Decks: Marine Corps/Jarhead Edition,Military
Syphilitic insanity.,CAH Fifth Expansion,CAH & Expansions
"Syria's tired, poor, carefully profiled masses.",Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Syrupy sex with a maple tree.,CAH Base Set,CAH & Expansions
Systemic racism.,Carps & Angsty Manatee - Texas Edition,Texas
Systems and policies designed to preserve centuries-old power structures.,CAH Green Box Expansion,CAH & Expansions
T-shirts!,JadedAid: A Card Game to Save Humanitarians,Humanitarian
T.I.A.,JadedAid: A Card Game to Save Humanitarians,Humanitarian
Tabasco®: a necessary evil.,Disgruntled Decks: Navy Edition,Military
Tables.,CAH Green Box Expansion,CAH & Expansions
Tabloid papers,Conspiracy Theory,Conspiracy
Taco bell poops.,Cakes Athirst Hilarity Volume 1,CAH & Expansions
"Taco Bell®, the official foor of burning anuses everywhere.",WTF Did You Say?!?,CAH & Expansions
Taco crumbs.,Cads Against Adulting,Adulting
Taco Tuesday,Kids Against Maturity,Kids
"Taco Tuesday, bitches!",Evil Apples,CAH & Expansions
Taco Tuesdays,Skewered And Roasted,CAH & Expansions
Tacos.,Crabs Adjust Humidity: Volume 2,CAH & Expansions
Tactical embarrassment.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
Tagging my ex in memes against their will.,Cads Against Adulting,Adulting
Tainting the communion wafers with LSD.,"Crows Adopt Vulgarity, Vol. 2",CAH & Expansions
take it to the rim,That's What She Said Game,Said
Take-backsies.,CAH Base Set,CAH & Expansions
Taking 2d6 emotional damage.,CAH Geek Pack,CAH & Expansions
Taking 3 hours to go on a 15 minute errand,KinderPerfect: More Expansion Pack,Parenthood
Taking 800mg of Motrin® followed by 800mg of Motrin®.,Disgruntled Decks: Army Edition,Military
Taking a 9+ month menstruation vacation.,Fun in the Oven,CAH & Expansions
Taking a bath with my dog.,Cads Against Adulting,Adulting
Taking a blurry photo of my penis on my Motorola Razr.,CAH 2000s Nostalgia Pack,CAH & Expansions
Taking a bullet for your country.,Disgruntled Decks: Army Edition,Military
Taking a conference call with an infant on your teat,Cads About Maternity - A game for bad mommies,Parenthood
Taking a date to the PX food court in a sad attempt to get laid.,Charlie Foxtrot,Military
Taking A Date To The Soup Kitchen,Personally Incorrect - Expansion [Red Box],Personal
"Taking a deep breath, going for a walk, and never coming back.",Cads Against Adulting,Adulting
Taking a dump in a ball pit.,"Crows Adopt Vulgarity, Vol. 3",CAH & Expansions
Taking a dump in the pool.,CAH Family Edition (Free Print & Play Public Beta),CAH & Expansions
Taking a dump.,CAH Absurd Box Expansion,CAH & Expansions
Taking a friend's kid on a walk and coming back with a dog instead.,The Worst Card Game: 2016 National Edition,CAH & Expansions
Taking a headshot while chewing bubblegum.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
Taking a hint,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Taking a joyride … through a playground.,"Crows Adopt Vulgarity, Vol. 1",CAH & Expansions
Taking a little “me time.”,Cads About Matrimony Poly Pack,Matrimony
Taking a man's eyes and balls out and putting his eyes where his balls go and then his balls in the eye holes.,CAH Base Set,CAH & Expansions
Taking a minute to really unpack what Shakespeare is getting at in this scene.,CAH Saves America Pack,CAH & Expansions
Taking a naked ride on the bonnet through the car wash,Kiwis Versus Morality,New Zealand
"Taking a nap, and then taking another nap.",CAH Everything Box Expanion,CAH & Expansions
Taking a nice drive …. through a playground.,"Crows Adopt Vulgarity, Vol. 2",CAH & Expansions
Taking a plate of pigs in blankets to an Eid party.,Pigs Against Profanity: Volume 3,CAH & Expansions
Taking a rip from my Juul to relate to the youth.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
"Taking a selfie with Saddam Hussein's lifeless, hanging body.",Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Dirty
Taking a selfie with the Pope.,The Catholic Card Game: Five Deck Expansion Pack,Catholic
Taking a sheep-wife.,CAH Base Set,CAH & Expansions
Taking a shit on my neighbor's doorstep.,WTF Did You Say?!?,CAH & Expansions
Taking a shit while running at full speed.,CAH World Wide Web Pack,CAH & Expansions
Taking a shit while you are being observed during a drug test.,Charlie Foxtrot,Military
Taking a wait-and-see attitude on Honest Abe.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Taking a year off to study Japanese puppet theatre.,CAH Theatre Pack,CAH & Expansions
Taking an extended paternity leave.,Fun in the Oven,CAH & Expansions
Taking an unrequested vow of celibacy.,Cads Against Adulting,Adulting
Taking commands from the Situation Room.,Charlie Foxtrot,Military
Taking dick pics at Tiny Town so it looks HUGE.,The Worst Card Game: Colorado Edition,Colorado
Taking down Santa with a surface-to-air missile.,CAH 2012 Holiday Pack,CAH & Expansions
Taking forever to cum.,CAH Everything Box Expanion,CAH & Expansions
Taking full advantage of Fat Tuesday.,The Catholic Card Game: Base Deck,Catholic
Taking gender reassignment homrones to win a meritorious board.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
Taking it like a real man.,Carps & Angsty Manatee - Texas Edition,Texas
Taking it the wrong way,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Taking Jack Layton's name in vain,Cards About Toronto,Toronto
taking Liam Neeson's daughter and demanding a large ransom,Evil Apples,CAH & Expansions
Taking liberties in the liturgy.,The Catholic Card Game: Generations Expansion Pack,Catholic
Taking more dick in your ass than Michael Jackson`s chimp Bubbles,Pigs Against Profanity: Volume 2,CAH & Expansions
Taking off my glasses and becoming beautiful.,CAH Reject Pack 3,CAH & Expansions
Taking off your shirt.,CAH Base Set,CAH & Expansions
Taking off your shirt.,Cards Against/For South Africa,South Africa
Taking one for the team.,Crabs Adjust Humidity: Volume 4,CAH & Expansions
"Taking one look at your new baby, then shoving it back in.","Crows Adopt Vulgarity, Vol. 2",CAH & Expansions
Taking our jobs.,Cards and Punishment Vol. One,CAH & Expansions
Taking out an insurance policy on the lieutenant.,Disgruntled Decks: Air Force Edition,Military
Taking out payday loans to pay off other payday loans,Cards About Toronto,Toronto
Taking pride in their acceptance by the cool kids,KinderPerfect: Tween Expansion Pack,Parenthood
Taking pride in your child's grammatically correct swearing,KinderPerfect (Commercial Set),Parenthood
Taking random pills to get high.,Hilarious!,CAH & Expansions
Taking so long to poop that your ass falls asleep and starts to tingle.,Cards With No Sexuality,CAH & Expansions
Taking some freaking responsibility for things.,Cads About Matrimony Poly Pack,Matrimony
Taking someone to pound town.,Cows Grilling Hamburgers - Patty Pack #1,CAH & Expansions
Taking tests.,Not Parent Approved Expansion Pack #1,Kids
Taking the Bible literally.,The Catholic Card Game: Base Deck,Catholic
Taking the dog for a walk during a military coup.,WTF Did You Say?!?,CAH & Expansions
Taking the form of a falcon.,CAH Green Box Expansion,CAH & Expansions
Taking the high road when I really want to punch you in the face.,Cads Against Adulting,Adulting
Taking the kids to Lakeside because you don't love them anymore.,The Worst Card Game: Colorado Edition,Colorado
Taking the piss,Kiwis Against Morality,New Zealand
Taking the TTC to Scarborough,Cards About Toronto,Toronto
Taking things into your own hands,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Taking things too literally.,Cads About Matrimony,Matrimony
Taking your daughter on a trip to Africa to get rid of that pesky clit.,The Worst Card Game: 2016 National Edition,CAH & Expansions
Taking your mother to prom.,Clones Attack Hilarity #2,CAH & Expansions
Talc-free baby powder.,Fun in the Oven,CAH & Expansions
Tales from the days when Guy Williams was the sexiest man on NZ television,Kiwis Against Morality,New Zealand
Talk like a Pirate Day,Cards Against Profanity,CAH & Expansions
Talk radio,Conspiracy Theory,Conspiracy
talking about Fight Club,Evil Apples,CAH & Expansions
Talking about food security over caviar and fine wine,JadedAid: A Card Game to Save Humanitarians,Humanitarian
Talking about moving to Austin.,Carps & Angsty Manatee - Texas Edition,Texas
Talking about someone who is not present.,WTF Did You Say?!?,CAH & Expansions
Talking about who among us is greatest.,The Catholic Card Game: Life Teen Expansion Pack,Catholic
Talking baby movies.,"Bad Campaign, The Presidential Party Game!",Elections & Donald Trump
Talking back to an adult,Kids Create Absurdity,Kids
Talking Dirty,Dirty Nasty Filthy,Dirty
Talking dirty,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
Talking dirty in a Spanish accent.,Cads About Matrimony,Matrimony
Talking faster than a Thai hooker.,"Crows Adopt Vulgarity, Vol. 4",CAH & Expansions
Talking like a drunk pirate.,Not Parent Approved Expansion Pack #1,Kids
Talking sexy social justice with Maya Angelou until your caged bird sings.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Elections & Donald Trump
Talking smack about everything I see.,Cads Against Adulting,Adulting
Talking through a movie.,Cats Abiding Horribly: Episode III - The SJWs Strike Back,CAH & Expansions
Talking to children about sex.,WTF Did You Say?!?,CAH & Expansions
Talking to myself,Kids Create Absurdity,Kids
Talking to myself.,Cads Against Adulting,Adulting
talking with deceiving father of a deceitful son,Bards Dispense Profanity,CAH & Expansions
Talking with your girlfriends about his “limitations.”,Carbs of the Huge Manatee: General Expansion 1,CAH & Expansions
"Talking, laughing, loving, breathing, fighting, fucking, crying, drinking, riding, winning, losing, cheating, kissing, thinking, dreaming.",CAH Pride Pack,CAH & Expansions
Tall Poppy Syndrome,Kiwis Against Morality,New Zealand
"Tall, dark, and hung.",Cads Against Adulting,Adulting
Tamati Coffey knocking the Maori Party out of parliamant,Kiwis Versus Morality,New Zealand
Tamati Coffey knocking the Maori Party out of parliament,Kiwis Against Morality,New Zealand
Tamper-proof ID cards.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Tampon taxes.,Humanity Hates Trump: Base Set,Elections & Donald Trump
Tampons for squirrels.,The Worst Card Game: 2016 National Edition,CAH & Expansions
Tampons in every hole.,Crabs Adjust Humidity: Volume 4,CAH & Expansions
Tampons.,Babies vs. Parents,Parenthood
Tana Umaga slapping someone with a handbag,Kiwis Against Morality,New Zealand
Tangled Slinkys.,CAH Base Set,CAH & Expansions
Tangling my headphones before they're even out of the box.,Cads Against Adulting,Adulting
Tango shoes.,Carbs of the Huge Manatee: Dance Expansion 1,Dating
tanning a white man into a purplish yellow one,Dick,CAH & Expansions
Tanning beds that double as homeless shelters.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
Tantric yoga.,"Guards Against Insanity, Edition 3",CAH & Expansions
Tap dancing like there's no tomorrow,Cards Against Profanity,CAH & Expansions
Tap dancing like there's no tomorrow.,CAH Base Set,CAH & Expansions
Tape.,Babies vs. Parents,Parenthood
Tappin' dat ass.,"Guards Against Insanity, Edition 2",CAH & Expansions
Tapping Serra Angel.,CAH Geek Pack,CAH & Expansions
Tar.,CAH Absurd Box Expansion,CAH & Expansions
Targeted meteor strikes,Conspiracy Theory,Conspiracy
Taro Tsujimoto.,Blurbs Against Buffalo,Buffalo
Tartar Sauce,Personally Incorrect - Expansion [Red Box],Personal
Taste dried spit,Cards for the Masses,CAH & Expansions
Tasteful sideboob.,CAH Base Set,CAH & Expansions
Tasteful sideboob.,Cards Against/For South Africa,South Africa
Tasting your wife's boob milk.,Cards With No Sexuality,CAH & Expansions
Tasty Butt Squirts,Personally Incorrect - Expansion 2 [Yellow Box],Personal
"Tasty, tasty cheese.",Carbs of the Huge Manatee: General Expansion 1,CAH & Expansions
Tater Tots®.,Not Parent Approved,Kids
Tattletales,Kids Create Absurdity,Kids
Tattoo a green cross on my forehead.,Potheads Against Sanity,420
Tattoo policies created by rétards.,Disgruntled Decks: Marine Corps/Jarhead Edition,Military
Tattoo regulations created by limp dick staff officers.,Disgruntled Decks: Navy Edition,Military
Tattooing a rank to your body.,Charlie Foxtrot,Military
Tattooing BADASS across your baby bump,Cads About Maternity - A game for bad mommies,Parenthood
